id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
866800960315586200,The Broken Edge - Downtown Bozeman Retreat,85914608,John,,Bozeman,45.6813689591589,-111.04904246901621,Entire home/apt,144,1,95,2024-08-14,6.18,2,54,73,STR23-00157
868764892737614986,Modern 3Bdrm Stay | Mountain Views & Beach Access,22366054,Tessa,,Bozeman,45.7066366,-111.0388507,Entire home/apt,643,2,18,2024-06-05,1.12,10,108,12,STR23-00085
869599672855821114,The Raccoon Den Downtown Bozeman,219491,Elinor (Ellie),,Bozeman,45.67824923242976,-111.04694545269012,Entire home/apt,169,1,70,2024-09-02,4.36,3,331,51,STR23-00125
871253472812827687,1BDRM/1.5BA condo-SKI with us!Winter Wonderland!,370426746,Kelsey,,Bozeman,45.70106,-111.07402,Entire home/apt,126,27,3,2024-06-30,0.23,1,93,2,
874123279715996557,Parkside Paradise at Gran Cielo,18247242,Kevin,,Bozeman,45.64964,-111.07581,Entire home/apt,,2,59,2024-08-13,3.63,1,0,33,STR24-00014
874657761125528795,Luxury Townhome w/Big Sky Views,10719166,Ted And Ann Marie,,Bozeman,45.688911,-111.108108,Entire home/apt,346,2,12,2024-07-24,0.74,7,304,8,STR21-00035
875521839496363904,"Babcock House: monthly rental, steps from Downtown",4884278,Kate,,Bozeman,45.6776,-111.04399,Entire home/apt,498,30,3,2024-03-31,0.20,1,128,2,
876772032673798997,Wallace Street Grocery,4727963,Matthew,,Bozeman,45.68346,-111.02891,Entire home/apt,220,3,72,2024-08-24,4.84,1,145,55,STR23-00066
877001808494830060,La Dolce Vita Bozeman,386319797,Jessie,,Bozeman,45.69038,-111.0935,Entire home/apt,299,2,10,2024-05-19,0.62,1,337,3,STR22-00113
881902444834952415,Modern Luxury Condo near MSU,10719166,Ted And Ann Marie,,Bozeman,45.650005,-111.0686823,Entire home/apt,124,30,0,,,7,310,0,
882861196778295786,The Executive a Downtown Bozeman Studio!,294131716,Marci,,Bozeman,45.67599,-111.0374,Entire home/apt,200,2,38,2024-08-31,2.56,1,77,33,STR20-00023
