id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5868695,Buried in Woods- Full of Art/ Style,21353533,Trip,,28803,35.54909,-82.48628,Entire home/apt,800,3,144,2024-04-16,1.32,1,10,4,
6002814,Steps to Downtown AVL Cozy 1BR in vintage building,13033352,Scott,,28801,35.60198,-82.55618,Entire home/apt,164,2,28,2023-11-25,1.74,1,76,15,
6005112,Solar House in South Asheville,31174094,Walter,,28803,35.49363,-82.51539,Private room,65,2,86,2024-06-02,1.27,1,30,12,
6054250,The Rad Pad—Quiet Modern Nest 2 Blocks off Haywood,1826173,Meg,,28806,35.57364,-82.57785,Entire home/apt,100,1,1020,2024-06-15,9.15,1,135,91,
6056098,Mountain Beauty/City Convenience,31430181,Rob,,28804,35.62655,-82.50988,Entire home/apt,121,3,156,2024-02-18,1.40,1,176,7,
6145162,"Downtown Asheville, Single Room - Best Value! -#7",7625694,John,,28801,35.59171,-82.54954,Private room,55,2,307,2024-05-23,2.76,8,341,11,
6170347,"Charm n Comfort: 1 mi to Biltmore Estate, 4 to DT!",32013434,Marilynn,,28803,35.5515,-82.53572,Private room,52,1,354,2024-06-12,3.24,1,62,19,
6180513,Dog-friendly Downton Annie #4,32054468,Jeremy,,28801,35.59437,-82.56054,Entire home/apt,149,1,141,2024-06-17,1.28,4,316,25,
6227094,Groove Stone Getaway,32297877,Louis,,28805,35.57833,-82.47761,Entire home/apt,159,30,84,2024-06-16,0.76,1,173,4,
6234618,"West Side Loft- Cozy, Clean & Comfortable",32351091,Monica,,28806,35.5834,-82.61083,Entire home/apt,75,2,280,2024-05-27,2.55,1,41,16,
6290666,Nestled Garden Oasis with Mountain View Downtown,21539203,Dorothy,,28805,35.59256,-82.5376,Entire home/apt,99,1,776,2024-06-10,7.00,3,325,82,
6363332,"Welcome to ""Cozy Oak Cottage""",32221473,Randy,,28803,35.56768,-82.52592,Entire home/apt,65,30,28,2024-06-01,0.26,2,171,3,
6399802,Downtown Asheville With a View - Great Value! -#11,7625694,John,,28801,35.59195,-82.54944,Private room,88,1,388,2024-05-27,3.50,8,327,23,
6452410,Stay in historic downtown suburb,16023445,Tara,,28801,35.61096954345703,-82.55024719238281,Entire home/apt,73,28,189,2022-10-31,1.73,2,231,0,
6609327,The Barn At Mountain Meadows,26946813,Danny,,28804,35.63239,-82.49928,Entire home/apt,325,1,28,2024-03-25,0.43,1,289,2,
6698737,"Serene, spacious, cozy and clean!",29622653,Kelly,,28806,35.57591,-82.59421,Private room,62,2,294,2024-05-26,2.67,1,333,15,
6711659,Hip Downtown Hideaway,10535408,David,,28801,35.5911,-82.54769,Entire home/apt,182,3,254,2024-06-16,2.32,1,47,29,
6715120,Comfy home 10 min to downtown.,35157681,Matthew And Jennifer,,28806,35.61838,-82.60094,Entire home/apt,150,2,282,2023-12-21,2.58,1,26,39,
